id,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,OVD_t1,OVD_t2,OVD_t3,OVD_sum,pay_normal,prod_code,prod_limit,new_balance,highest_balance,model
54989201,4,1286.1657435613404,2,98000.0,1,8,5,109,4,72050,181.1435895,0,0,0,0,5,10,33000.0,34947.6,30446.0,xgb
59001893,4,1313.0,3,133000.0,2,8,5,80,5,60074,1.0,0,0,0,0,1,13,85789.7012195122,0.0,20500.0,xgb
58986218,5,1192.0,3,61000.0,2,15,-1,111,4,72001,1.0,0,0,0,0,36,10,85789.7012195122,3268.8,28242.0,xgb
54991669,4,1286.1657435613404,2,41000.0,2,8,5,110,3,60036,164.18587030000003,2,0,0,16,34,10,85789.7012195122,10850.4,27085.0,xgb
59002933,4,1286.1657435613404,2,97000.0,2,8,5,110,4,72001,196.3644571,0,0,0,0,3,10,85789.7012195122,35286.0,35270.0,xgb
59003959,4,1286.1657435613404,2,57000.0,2,8,5,107,5,151300,194.9358869,0,0,0,0,34,10,137500.0,0.0,44185.0,xgb
58992711,7,1306.0,3,84000.0,2,11,5,112,4,151306,173.20508080000002,0,0,0,0,1,10,110000.0,4102.8,3918.0,xgb
54985862,7,1292.0,3,163000.0,2,11,5,109,5,60016,187.08286930000003,0,0,0,0,5,10,85789.7012195122,25539.6,32065.0,xgb
58984430,5,1316.0,3,147000.0,2,15,9,105,5,361029,173.20508080000002,1,9,24,8290,1,5,85789.7012195122,0.0,30500.0,xgb
58987426,5,1277.0,1,142000.0,2,15,-1,111,4,450002,197.4841766,0,0,0,0,8,10,51700.0,139546.8,165391.0,xgb
54989251,4,1264.0,3,100000.0,2,8,5,64,5,60047,1.0,0,0,0,0,1,10,660000.0,0.0,779355.0,xgb
58991182,7,1244.0,3,84000.0,2,11,5,108,4,72000,1.0,0,0,0,0,8,5,85789.7012195122,104293.2,100500.0,xgb
58997449,4,1403.0,1,184000.0,2,8,-1,80,5,340017,187.08286930000003,0,0,0,0,17,5,85789.7012195122,0.0,125500.0,xgb
58999208,4,1331.0,3,341000.0,2,8,9,114,5,72001,345.7383404,0,0,0,0,8,1,85789.7012195122,295040.4,266938.0,xgb
54989201,4,1286.1657435613404,2,98000.0,1,8,5,109,4,72050,181.1435895,0,0,0,0,3,6,85789.7012195122,23520.0,25000.0,xgb
58984516,5,1372.0,3,82000.0,2,15,5,115,5,151300,1.0,0,0,0,0,6,10,85789.7012195122,1586.4,1846.0,xgb
54982859,5,1322.0,3,154000.0,2,15,5,110,5,72000,204.9390153,0,0,0,0,4,0,85789.7012195122,325327.2,300500.0,xgb
58997449,4,1403.0,1,184000.0,2,8,-1,80,5,340017,187.08286930000003,0,0,0,0,6,25,85789.7012195122,0.0,90500.0,xgb
54987682,7,1290.0,1,119000.0,2,11,9,114,4,591017,1.0,0,0,0,0,15,10,73700.0,27781.2,59039.0,xgb
59002619,4,1223.0,3,100000.0,2,8,9,114,4,60000,1.0,0,0,0,0,21,10,85789.7012195122,26019.6,37088.0,xgb
58987161,5,1286.1657435613404,2,48000.0,2,15,5,107,4,450008,178.0056179,0,0,0,0,4,10,103400.0,44084.4,51151.0,xgb
58991130,7,1340.0,3,341000.0,2,11,5,112,5,72001,1.0,0,0,0,0,3,10,85789.7012195122,0.0,3220.0,xgb
58987402,5,1241.0,3,62000.0,2,15,9,95,4,60023,1.0,0,0,0,0,1,0,85789.7012195122,42000.0,35500.0,xgb
58995389,7,1289.0,1,107000.0,2,11,5,102,3,151300,1.0,0,0,0,0,4,5,85789.7012195122,386210.4,350500.0,xgb
58985717,5,1211.0,3,97000.0,2,15,5,86,5,151300,1.0,0,0,0,0,27,10,85789.7012195122,753.6,27485.0,xgb
58999868,4,1276.0,3,136000.0,2,8,5,113,4,60000,1.0,0,0,0,0,17,5,85789.7012195122,0.0,50500.0,xgb
58988250,5,1242.0,3,30000.0,2,15,5,80,3,60050,200.0,0,0,0,0,23,10,55000.0,100404.0,152410.0,xgb
58999963,4,1229.0,3,62000.0,2,8,5,84,5,60019,1.0,0,0,0,0,14,13,85789.7012195122,0.0,91261.0,xgb
58997216,7,1340.0,1,296000.0,2,11,5,110,5,72000,1.0,0,0,0,0,26,10,85789.7012195122,2460.0,35921.0,xgb
59003717,4,1286.1657435613404,2,86000.0,2,8,5,114,5,151300,169.1123887,0,0,0,0,10,10,102300.0,60852.0,85659.0,xgb
58984128,5,1404.0,1,150000.0,2,15,9,100,5,71002,316.22776600000003,0,0,0,0,1,10,85789.7012195122,0.0,219202.72592781534,xgb
58997329,4,1286.1657435613404,2,65000.0,2,8,5,112,4,60015,191.8801709,0,0,0,0,13,5,85789.7012195122,0.0,250500.0,xgb
58987349,5,1248.0,3,106000.0,2,15,5,85,3,151300,1.0,0,0,0,0,27,10,85789.7012195122,4392.0,26480.0,xgb
54985432,7,1260.0,3,115000.0,2,11,5,85,5,60084,1.0,0,0,0,0,12,10,14300.0,-1.2,10800.0,xgb
54984476,5,1259.0,3,80000.0,2,15,5,112,3,350000,223.6067977,0,0,0,0,12,6,85789.7012195122,0.0,32462.0,xgb
58987900,5,1248.0,1,81000.0,2,15,9,79,3,450033,187.08286930000003,0,0,0,0,14,10,59400.0,2845.2,36508.0,xgb
54982356,1,1391.0,1,1200000.0,2,5,-1,64,5,361026,1.0,0,0,0,0,36,10,330000.0,6.0,81139.0,xgb
54989125,4,1373.0,3,369000.0,2,8,7,108,5,330005,350.5923559,0,0,0,0,12,5,85789.7012195122,0.0,300500.0,xgb
58983266,5,1210.0,3,35000.0,2,15,5,78,5,71000,227.015418,0,0,0,0,15,5,85789.7012195122,61956.0,87500.0,xgb
54985643,7,1286.1657435613404,3,203000.0,2,11,-1,107,4,450012,158.11388300000002,0,0,0,0,26,10,57200.0,-7.2,51071.0,xgb
54987401,7,1325.0,1,50000.0,2,12,-1,105,5,350012,225.2287726,1,0,0,1,34,10,247500.0,6208.8,143376.0,xgb
54984680,5,1170.0,3,100000.0,2,15,5,86,5,350092,200.0,0,0,0,0,34,13,85789.7012195122,0.0,36900.0,xgb
54989484,4,1313.0,3,328000.0,2,8,5,90,5,151300,1.0,0,0,0,0,7,6,85789.7012195122,6590.4,22486.0,xgb
58993583,7,1338.0,1,156000.0,2,11,-1,69,5,151300,1.0,0,0,0,0,6,10,189200.0,181030.8,173080.0,xgb
58993467,7,1258.0,3,95000.0,1,11,4,111,4,450015,244.94897430000003,0,0,0,0,2,10,44000.0,47262.0,39884.0,xgb
58986623,5,1278.0,1,98000.0,2,15,-1,82,5,450033,173.20508080000002,0,0,0,0,35,10,57200.0,23658.0,36334.0,xgb
58997555,4,1266.0,3,207000.0,2,9,5,100,1,71002,316.22776600000003,0,0,0,0,6,13,85789.7012195122,0.0,41500.0,xgb
58986566,5,1320.0,3,150000.0,2,15,9,108,5,361028,200.0,1,0,0,30,34,10,330000.0,-1360.8,39791.0,xgb
59000498,4,1352.0,1,128000.0,2,8,5,72,3,60058,1.0,0,0,0,0,36,10,85789.7012195122,906.0,16758.0,xgb
59003191,4,1278.0,3,97000.0,2,8,5,100,3,72015,223.6067977,0,0,0,0,6,10,69300.0,-1.2,7858.0,xgb
54988259,7,1218.0,3,67000.0,1,11,5,114,4,72000,237.0442997,0,0,0,0,2,13,85789.7012195122,39558.0,42500.0,xgb
58996837,7,1235.0,3,56000.0,2,11,-1,114,4,151300,206.8888591,0,0,0,0,3,5,85789.7012195122,114328.8,100500.0,xgb
54987651,7,1250.0,3,102000.0,2,11,5,100,3,60050,1.0,0,0,0,0,4,10,63800.0,65998.8,55498.0,xgb
59000044,7,1286.1657435613404,2,51000.0,2,11,5,112,4,72015,170.29386369999995,0,0,0,0,8,10,31900.0,13419.6,29473.0,xgb
58995903,7,1234.0,3,78000.0,2,11,5,105,3,60036,1.0,0,0,0,0,2,7,85789.7012195122,24436.8,21000.0,xgb
54988614,7,1286.1657435613404,2,106000.0,2,11,-1,90,5,60033,1.0,0,11,4,1179,15,13,85789.7012195122,0.0,44500.0,xgb
58988886,7,1235.0,3,68000.0,2,11,5,110,5,450017,187.08286930000003,0,0,0,0,22,10,85789.7012195122,0.0,98434.0,xgb
58988212,5,1228.0,3,35000.0,2,15,4,105,5,510099,316.22776600000003,0,0,0,0,24,10,85789.7012195122,0.0,134517.0,xgb
54987871,7,1226.0,3,64000.0,2,11,5,103,3,72000,1.0,0,0,0,0,11,6,85789.7012195122,0.0,25500.0,xgb
58991395,7,1300.0,1,87000.0,2,11,5,85,5,151300,1.0,0,0,0,0,36,1,85789.7012195122,168210.0,500500.0,xgb
54989513,4,1304.0,1,257000.0,2,8,5,75,5,72000,212.1320344,0,0,0,0,29,2,85789.7012195122,2694366.0,2500500.0,xgb
58993744,7,1370.0,3,394000.0,2,11,5,112,5,510009,445.0382006,0,0,0,0,5,5,85789.7012195122,0.0,70500.0,xgb
54986879,7,1286.1657435613404,2,179000.0,2,11,5,113,4,450002,267.58176319999995,0,0,0,0,3,7,85789.7012195122,0.0,154500.0,xgb
54986045,7,1284.0,3,132000.0,2,11,5,104,5,60015,1.0,0,0,0,0,10,13,85789.7012195122,0.0,63500.0,xgb
54982897,5,1258.0,3,102000.0,2,15,2,80,3,60005,223.6067977,0,0,0,0,36,10,85789.7012195122,20689.2,34665.0,xgb
58988646,7,1265.0,3,118000.0,2,11,5,106,5,450080,626.8971207000001,4,4,0,381,7,10,85789.7012195122,0.0,61130.0,xgb
54989304,4,1238.0,3,125000.0,2,8,9,85,5,60002,1.0,0,0,0,0,20,10,33000.0,-560.4,23461.0,xgb
58987276,5,1286.1657435613404,3,50000.0,2,15,9,110,5,450080,194.9358869,0,0,0,0,33,5,85789.7012195122,0.0,320066.0,xgb
58993212,7,1324.0,1,117000.0,2,11,9,112,4,550001,230.2172887,1,1,8,1371,23,10,85789.7012195122,0.0,27471.0,xgb
54985745,7,1224.0,3,312000.0,2,11,9,99,5,60084,1.0,0,0,0,0,8,6,85789.7012195122,30397.2,48000.0,xgb
58998166,4,1355.0,3,177000.0,2,8,5,87,5,151101,1.0,1,0,0,30,4,10,85789.7012195122,0.0,2284.0,xgb
59005490,4,1288.0,1,110000.0,2,8,5,89,5,72049,190.9345438,0,0,0,0,2,5,85789.7012195122,0.0,100500.0,xgb
58991130,7,1340.0,3,341000.0,2,11,5,112,5,72001,1.0,0,0,0,0,36,10,85789.7012195122,0.0,28623.0,xgb
58984128,5,1404.0,1,150000.0,2,15,9,100,5,71002,316.22776600000003,0,0,0,0,3,2,85789.7012195122,5782.8,2968500.0,xgb
58990308,7,1307.0,3,195000.0,2,11,9,95,5,72003,200.0,0,4,4,770,12,10,19800.0,0.0,31939.0,xgb
59000853,4,1306.0,1,118000.0,2,8,9,112,4,151300,223.6067977,0,0,0,0,9,10,85789.7012195122,219.6,15914.0,xgb
54985180,7,1216.0,3,63000.0,1,11,5,100,5,71000,212.1320344,0,0,0,0,16,10,85789.7012195122,11628.0,21879.0,xgb
58982387,1,1217.0,2,300000.0,2,4,-1,79,5,550007,1.0,0,0,0,0,9,6,85789.7012195122,0.0,1000500.0,xgb
58993081,7,1216.0,3,35000.0,2,11,9,113,4,60038,1.0,0,0,0,0,5,3,85789.7012195122,8220792.0,6880500.0,xgb
58990187,7,1364.0,3,260000.0,2,11,5,96,5,60007,1.0,0,0,0,0,36,10,22000.0,5308.8,69175.0,xgb
58998624,4,1304.0,3,129000.0,2,8,5,111,4,60001,223.6067977,0,0,0,0,27,10,134200.0,416.4,16375.0,xgb
54991626,4,1286.1657435613404,2,92000.0,2,8,-1,107,4,350052,158.11388300000002,0,0,0,0,2,10,16500.0,14221.2,13114.0,xgb
58998583,4,1310.0,3,129000.0,1,8,5,100,5,151300,181.6590212,0,0,0,0,18,5,85789.7012195122,0.0,134500.0,xgb
